entry_time,exit_time,side,entry_price,exit_price,tp,sl,bars_held,pnl,return,exit_reason
2025-07-28 02:15:00+00:00,2025-07-28 06:15:00+00:00,long,119459.96,119490.0,120476.92457142856,118824.35714285716,16,30.039999999993597,0.0002514650096985935,timeout
2025-07-28 07:15:00+00:00,2025-07-28 11:15:00+00:00,short,119067.88,118562.5,118315.88971428572,119569.20685714285,16,505.38000000000466,0.004244469625225583,timeout
2025-07-28 12:15:00+00:00,2025-07-28 14:15:00+00:00,short,118930.13,118094.98914285716,118094.98914285716,119486.89057142858,8,835.1408571428474,0.00702211337987142,tp
2025-07-28 15:15:00+00:00,2025-07-28 18:00:00+00:00,short,118431.99,117596.84914285716,117596.84914285716,118988.75057142858,11,835.1408571428474,0.007051649281100887,tp
2025-07-28 19:00:00+00:00,2025-07-28 23:00:00+00:00,long,118146.26,117950.66,119263.90914285714,117447.72928571427,16,-195.59999999999127,-0.001655575047403035,timeout
2025-07-29 00:15:00+00:00,2025-07-29 04:15:00+00:00,long,118242.22,118653.16,119519.48742857143,117443.92785714286,16,410.9400000000023,0.0034754083609052867,timeout
2025-07-29 05:15:00+00:00,2025-07-29 09:15:00+00:00,long,118649.26,118924.82,119979.54457142856,117817.83214285714,16,275.5600000000122,0.002322475504693516,timeout
2025-07-29 10:15:00+00:00,2025-07-29 14:15:00+00:00,short,118659.32,118271.23,117630.96800000001,119344.888,16,388.09000000001106,0.0032706238330036867,timeout
2025-07-29 15:15:00+00:00,2025-07-29 19:15:00+00:00,short,117532.79,117462.94,116381.29057142856,118300.45628571427,16,69.84999999999127,0.0005943022368480428,timeout
2025-07-29 20:15:00+00:00,2025-07-30 00:15:00+00:00,long,117561.58,117716.03,119197.53657142857,116539.10714285714,16,154.4499999999971,0.0013137795528096602,timeout
2025-07-30 01:15:00+00:00,2025-07-30 05:15:00+00:00,long,117565.35,117977.0,119187.958,116551.22,16,411.6499999999942,0.003501456849318223,timeout
2025-07-30 06:15:00+00:00,2025-07-30 10:15:00+00:00,long,118202.0,118326.08,119789.39314285714,117209.87928571428,16,124.08000000000175,0.0010497284309910302,timeout
2025-07-30 11:30:00+00:00,2025-07-30 15:30:00+00:00,long,117798.01,118118.24,119417.7997142857,116785.64142857143,16,320.2300000000105,0.0027184669758004445,timeout
2025-07-30 16:30:00+00:00,2025-07-30 19:00:00+00:00,short,117768.18,116371.61228571428,116371.61228571428,118699.22514285713,10,1396.5677142857166,0.011858616769705677,tp
2025-07-30 20:15:00+00:00,2025-07-31 00:15:00+00:00,long,117114.19,118063.49,118956.83,115962.54000000001,16,949.3000000000029,0.008105764126447895,timeout
2025-07-31 01:15:00+00:00,2025-07-31 05:15:00+00:00,long,118307.89,118381.96,120135.56085714286,117165.59571428571,16,74.07000000000698,0.0006260782776195821,timeout
2025-07-31 06:15:00+00:00,2025-07-31 10:15:00+00:00,long,118425.78,118469.04,120228.868,117298.85,16,43.25999999999476,0.0003652920842066209,timeout
2025-07-31 11:15:00+00:00,2025-07-31 15:15:00+00:00,short,118420.0,118034.85,117141.29885714286,119272.46742857143,16,385.1499999999942,0.0032524066880594005,timeout
2025-07-31 16:15:00+00:00,2025-07-31 19:15:00+00:00,short,118543.11,117156.09771428572,117156.09771428572,119467.78485714286,12,1387.012285714285,0.011700488419059404,tp
2025-07-31 20:15:00+00:00,2025-08-01 00:00:00+00:00,short,116765.08,115405.39085714286,115405.39085714286,117671.53942857143,15,1359.6891428571398,0.011644655601290556,tp
2025-08-01 01:15:00+00:00,2025-08-01 05:15:00+00:00,long,115190.38,115588.93,117075.59257142857,114012.12214285714,16,398.54999999998836,0.0034599243443765733,timeout
2025-08-01 07:15:00+00:00,2025-08-01 11:15:00+00:00,long,114840.96,115085.73,116769.39657142857,113635.68714285715,16,244.76999999998952,0.0021313823917876473,timeout
2025-08-01 12:15:00+00:00,2025-08-01 16:15:00+00:00,short,115448.44,115602.17,113858.74857142857,116508.2342857143,16,-153.72999999999593,-0.0013315901020403214,timeout
2025-08-01 17:15:00+00:00,2025-08-01 21:15:00+00:00,short,114655.15,114010.72,112949.69114285713,115792.12257142857,16,644.429999999993,0.005620593579965602,timeout
2025-08-01 22:15:00+00:00,2025-08-02 02:15:00+00:00,long,113449.0,113639.02,115715.89828571428,112032.18857142857,16,190.02000000000407,0.001674937637176212,timeout
2025-08-02 03:15:00+00:00,2025-08-02 07:15:00+00:00,short,113809.85,113932.45,112239.75971428573,114856.57685714286,16,-122.59999999999127,-0.0010772354062499095,timeout
2025-08-02 08:15:00+00:00,2025-08-02 12:15:00+00:00,short,113877.31,113714.88,112361.83,114887.63,16,162.42999999999302,0.0014263596496966167,timeout
2025-08-02 13:15:00+00:00,2025-08-02 17:15:00+00:00,short,113284.65,113360.0,111739.17085714285,114314.96942857142,16,-75.35000000000582,-0.0006651386573556596,timeout
2025-08-02 18:15:00+00:00,2025-08-02 22:15:00+00:00,long,112386.19,112586.72,114552.63914285715,111032.15928571428,16,200.52999999999884,0.0017842939599607285,timeout
2025-08-02 23:15:00+00:00,2025-08-03 03:15:00+00:00,long,112308.86,113517.57,114486.076,110948.1,16,1208.7100000000064,0.010762374402162095,timeout
2025-08-03 04:30:00+00:00,2025-08-03 08:30:00+00:00,long,113388.0,113600.0,115404.53485714286,112127.66571428571,16,212.0,0.0018696863865664797,timeout
2025-08-03 09:30:00+00:00,2025-08-03 13:30:00+00:00,long,113662.94,113894.21,115561.81085714286,112476.14571428571,16,231.27000000000407,0.002034700140608751,timeout
2025-08-03 14:30:00+00:00,2025-08-03 18:30:00+00:00,long,113818.87,114339.43,115630.37057142858,112686.68214285714,16,520.5599999999977,0.0045735825702715,timeout
2025-08-03 19:30:00+00:00,2025-08-03 23:30:00+00:00,short,114412.66,114238.0,113071.14142857143,115307.00571428573,16,174.6600000000035,0.0015265793138626747,timeout
2025-08-04 01:00:00+00:00,2025-08-04 05:00:00+00:00,short,114757.01,114337.01,113678.32057142857,115476.13628571428,16,420.0,0.0036599071376990392,timeout
2025-08-04 06:00:00+00:00,2025-08-04 10:00:00+00:00,long,114265.57,114448.29,115619.07057142857,113419.63214285715,16,182.7199999999866,0.0015990818581659077,timeout
2025-08-04 11:00:00+00:00,2025-08-04 15:00:00+00:00,long,114317.24,114989.64,115648.88,113484.96500000001,16,672.3999999999942,0.005881877484095961,timeout
2025-08-04 16:15:00+00:00,2025-08-04 17:00:00+00:00,short,114901.0,115631.02457142857,113805.96314285714,115631.02457142857,3,-730.0245714285702,-0.006353509294336605,sl
2025-08-04 18:30:00+00:00,2025-08-04 22:30:00+00:00,short,115069.25,115177.9,113974.21314285714,115799.27457142857,16,-108.64999999999418,-0.0009442140276398271,timeout
2025-08-04 23:30:00+00:00,2025-08-05 03:30:00+00:00,short,115228.23,114312.71,114155.57657142857,115943.33228571428,16,915.5199999999895,0.0079452752159778,timeout
2025-08-05 04:30:00+00:00,2025-08-05 08:30:00+00:00,long,114260.0,114308.21,115603.34057142858,113420.41214285714,16,48.2100000000064,0.00042193243479788555,timeout
2025-08-05 09:45:00+00:00,2025-08-05 12:30:00+00:00,short,114694.76,113743.21142857142,113743.21142857142,115329.1257142857,11,951.5485714285751,0.008296356097075186,tp
2025-08-05 14:30:00+00:00,2025-08-05 18:30:00+00:00,long,112776.01,113385.34,114257.77342857143,111849.90785714285,16,609.3300000000017,0.005403010799903293,timeout
2025-08-05 19:30:00+00:00,2025-08-05 23:30:00+00:00,long,113604.88,114170.41,115113.87542857144,112661.75785714286,16,565.5299999999988,0.004978043196735904,timeout
