X_SL_ATR,Y_TP_ATR,hit,bars_held,return_pct
2.0,3.5,SL,8,-0.0042406867276215164
1.75,2.0,TIMEOUT,16,-0.0006553493726745616
1.5,2.5,TIMEOUT,16,0.002483017803238884
1.0,2.5,SL,9,-0.004403892776192561
1.75,3.5,TP,3,0.02222849930666111
1.25,2.0,SL,11,-0.013233824135365134
1.25,3.0,SL,5,-0.0030394951542399677
2.0,1.5,TP,3,0.003663076905110606
1.0,3.5,SL,1,-0.006032114877270384
2.0,1.5,TP,6,0.004608198733390293
1.75,3.5,SL,4,-0.004462657475056751
1.5,3.0,SL,8,-0.01147013580794975
1.5,3.5,TP,4,0.009221557040962046
1.75,2.5,TIMEOUT,16,0.005256966835582666
1.5,2.0,SL,1,-0.005488780208168724
1.75,3.0,SL,16,-0.005388824317173499
2.0,1.5,TP,2,0.0027351846136185907
1.25,2.5,TIMEOUT,16,0.0006023583493893136
1.0,3.5,TP,11,0.020929523487095567
2.0,3.0,TIMEOUT,16,-0.0008633177651914578
1.75,1.5,TP,2,0.003522968079651546
1.25,1.5,TP,4,0.00462239860401447
2.0,3.0,SL,9,-0.0032042667831658376
1.5,2.0,SL,2,-0.003127435360559699
1.75,1.5,TP,4,0.0015602275119691491
1.0,1.5,SL,2,-0.002216559462082813
1.75,3.5,TP,3,0.009433108398825548
2.0,2.0,SL,3,-0.004119621224970147
1.75,2.5,TIMEOUT,16,-0.005896438565861735
1.5,2.0,SL,7,-0.003841134469950339
1.5,3.5,SL,10,-0.00534927077614379
1.75,3.0,TP,11,0.0174999617029621
1.75,3.5,SL,9,-0.003572610109364836
1.0,3.0,SL,5,-0.004178022347942526
1.25,2.0,TP,3,0.01043390833955649
1.0,1.5,TP,2,0.0031575659359463016
1.0,3.0,SL,16,-0.003024617936471333
2.0,3.0,TIMEOUT,16,0.0005919561841204756
1.5,2.5,SL,12,-0.005081847483240676
1.0,2.5,TP,1,0.002046978936908062
2.0,3.5,TIMEOUT,16,-0.0034264466713399295
1.75,2.5,SL,7,-0.00256854123455573
1.25,3.5,SL,4,-0.0018699631236706565
